3.03,2.7325
3.04,2.71147
3.05,2.69054
3.06,2.66972
3.07,2.64902
3.08,2.62841
3.09,2.60792
3.1,2.58754
3.11,2.56727
3.12,2.54712
3.13,2.52707
3.14,2.50713
3.15,2.48731
3.16,2.4676
3.17,2.44801
3.18,2.42852
3.19,2.40915
3.2,2.3899
3.21,2.37076
3.22,2.35173
3.23,2.33282
3.24,2.31402
3.25,2.29534
3.26,2.27677
3.27,2.25832
3.28,2.23998
3.29,2.22175
3.3,2.20364
3.31,2.18565
3.32,2.16777
3.33,2.15001
3.34,2.13236
3.35,2.11482
3.36,2.0974
3.37,2.0801
3.38,2.06291
3.39,2.04583
3.4,2.02887
3.41,2.01202
3.42,1.99528
3.43,1.97866
3.44,1.96215
3.45,1.94576
3.46,1.92947
3.47,1.9133
3.48,1.89724
3.49,1.8813
3.5,1.86546
3.51,1.84974
3.52,1.83412
3.53,1.81862
3.54,1.80323
3.55,1.78795
3.56,1.77277
3.57,1.75771
3.58,1.74276
3.59,1.72791
3.6,1.71317
3.61,1.69854
3.62,1.68402
3.63,1.6696
3.64,1.65529
3.65,1.64108
3.66,1.62698
3.67,1.61299
3.68,1.5991
3.69,1.58531
3.7,1.57163
3.71,1.55805
3.72,1.54458
3.73,1.5312
3.74,1.51793
3.75,1.50476
3.76,1.49169
3.77,1.47872
3.78,1.46585
3.79,1.45308
3.8,1.4404
3.81,1.42783
3.82,1.41535
3.83,1.40297
3.84,1.39069
3.85,1.37851
3.86,1.36642
3.87,1.35442
3.88,1.34252
3.89,1.33071
3.9,1.319
3.91,1.30738
3.92,1.29585
3.93,1.28441
3.94,1.27307
3.95,1.26181
3.96,1.25065
3.97,1.23958
3.98,1.22859
3.99,1.2177
4,1.20689
4.01,1.19617
4.02,1.18553
4.03,1.17499
4.04,1.16453
4.05,1.15415
4.06,1.14386
4.07,1.13365
4.08,1.12353
4.09,1.11349
4.1,1.10354
4.11,1.09366
4.12,1.08387
4.13,1.07416
4.14,1.06453
4.15,1.05497
4.16,1.0455
4.17,1.03611
4.18,1.02679
4.19,1.01756
4.2,1.0084
4.21,0.999316
4.22,0.990309
4.23,0.981379
4.24,0.972523
4.25,0.963742
4.26,0.955035
4.27,0.946402
4.28,0.937842
4.29,0.929355
4.3,0.920939
4.31,0.912595
4.32,0.904322
4.33,0.89612
4.34,0.887987
4.35,0.879924
4.36,0.87193
4.37,0.864004
4.38,0.856146
4.39,0.848356
4.4,0.840633
4.41,0.832976
4.42,0.825385
4.43,0.817859
4.44,0.810399
4.45,0.803003
4.46,0.795671
4.47,0.788402
4.48,0.781197
4.49,0.774053
4.5,0.766973
4.51,0.759953
4.52,0.752995
4.53,0.746097
4.54,0.73926
4.55,0.732482
4.56,0.725763
4.57,0.719103
4.58,0.712502
4.59,0.705958
4.6,0.699472
4.61,0.693043
4.62,0.68667
4.63,0.680353
4.64,0.674092
4.65,0.667886
4.66,0.661735
4.67,0.655638
4.68,0.649595
4.69,0.643606
4.7,0.637669
4.71,0.631785
4.72,0.625953
4.73,0.620173
4.74,0.614444
4.75,0.608766
4.76,0.603139
4.77,0.597562
4.78,0.592034
4.79,0.586555
4.8,0.581126
4.81,0.575745
4.82,0.570412
4.83,0.565126
4.84,0.559888
4.85,0.554697
4.86,0.549552
4.87,0.544453
4.88,0.5394
4.89,0.534393
4.9,0.52943
4.91,0.524512
4.92,0.519638
4.93,0.514808
4.94,0.510022
4.95,0.505279
4.96,0.500578
4.97,0.49592
4.98,0.491304
4.99,0.486729
5,0.482196
5.01,0.477704
5.02,0.473252
5.03,0.468841
5.04,0.46447
5.05,0.460138
5.06,0.455846
5.07,0.451592
5.08,0.447378
5.09,0.443201
5.1,0.439063
5.11,0.434962
5.12,0.430898
5.13,0.426871
5.14,0.422881
5.15,0.418927
5.16,0.41501
5.17,0.411128
5.18,0.407281
5.19,0.40347
5.2,0.399693
5.21,0.395951
5.22,0.392244
5.23,0.38857
5.24,0.384929
5.25,0.381322
5.26,0.377748
5.27,0.374207
5.28,0.370698
5.29,0.367222
5.3,0.363777
5.31,0.360364
5.32,0.356982
5.33,0.353631
5.34,0.350311
5.35,0.347022
5.36,0.343763
5.37,0.340534
5.38,0.337334
5.39,0.334164
5.4,0.331024
5.41,0.327912
5.42,0.324829
5.43,0.321774
5.44,0.318747
5.45,0.315749
5.46,0.312778
5.47,0.309834
5.48,0.306918
5.49,0.304029
5.5,0.301166
